X,Y
1979-07-02T00:00:00,264.3813411
1979-07-03T00:00:00,259.7620069
1979-07-04T00:00:00,264.6515895
1979-07-05T00:00:00,265.7611927
1979-07-06T00:00:00,265.2188011
1979-07-07T00:00:00,268.4140611
1979-07-08T00:00:00,259.4605278
1979-07-09T00:00:00,262.2398519
1979-07-10T00:00:00,261.3750616
1979-07-11T00:00:00,270.4471506
1979-07-12T00:00:00,270.0250028
1979-07-13T00:00:00,265.7221561
1979-07-14T00:00:00,273.7847854
1979-07-15T00:00:00,276.2252196
1979-07-16T00:00:00,270.532168
1979-07-17T00:00:00,268.2136338
1979-07-18T00:00:00,266.5969488
1979-07-19T00:00:00,261.5648881
1979-07-20T00:00:00,266.0990936
1979-07-21T00:00:00,266.1870224
1979-07-22T00:00:00,274.9905907
1979-07-23T00:00:00,267.406042
1979-07-24T00:00:00,274.7438516
1979-07-25T00:00:00,273.3498284
1979-07-26T00:00:00,277.5378557
1979-07-27T00:00:00,272.8465596
1979-07-28T00:00:00,280.750711
1979-07-29T00:00:00,277.0952528
1979-07-30T00:00:00,274.2717856
1979-07-31T00:00:00,274.1518239
1979-08-01T00:00:00,274.0815182
1979-08-02T00:00:00,275.0300589
1979-08-03T00:00:00,272.0289905
1979-08-05T00:00:00,272.3016618
1979-08-06T00:00:00,270.9409625
1979-08-07T00:00:00,273.2977217
1979-08-08T00:00:00,271.1871336
1979-08-09T00:00:00,268.0982079
1979-08-10T00:00:00,268.511566
1979-08-11T00:00:00,267.3788189
1979-08-12T00:00:00,272.7249059
1979-08-13T00:00:00,274.3762571
1979-08-14T00:00:00,272.2378938
1979-08-15T00:00:00,270.8433027
1979-08-16T00:00:00,275.8368921
1979-08-17T00:00:00,269.4234268
1979-08-18T00:00:00,272.7468702
1979-08-19T00:00:00,277.8310932
1979-08-20T00:00:00,280.1454133
1979-08-21T00:00:00,275.6803139
1979-08-22T00:00:00,275.4042745
1979-08-23T00:00:00,272.1209864
1979-08-26T00:00:00,275.5074949
1979-08-28T00:00:00,275.9022687
1979-08-29T00:00:00,280.1384705
1979-08-30T00:00:00,279.2065361
1979-08-31T00:00:00,278.9439135
1979-09-01T00:00:00,271.6003249
1979-09-02T00:00:00,279.9614175
1979-09-03T00:00:00,272.93454
1979-09-04T00:00:00,274.9728206
1979-09-05T00:00:00,275.3670742
1979-09-06T00:00:00,277.2451186
1979-09-07T00:00:00,269.3996036
1979-09-08T00:00:00,271.051924
1979-09-10T00:00:00,278.3598414
1979-09-11T00:00:00,276.7430374
1979-09-12T00:00:00,285.1944577
1979-09-13T00:00:00,281.3854638
1979-09-15T00:00:00,272.9876356
1979-09-17T00:00:00,273.1146394
1979-09-18T00:00:00,268.7820886
1979-09-19T00:00:00,273.522437
1979-09-20T00:00:00,267.1609313
1979-09-21T00:00:00,275.1087333
1979-09-22T00:00:00,270.0026611
1979-09-23T00:00:00,268.3596587
1979-09-24T00:00:00,268.1320242
1979-09-25T00:00:00,265.9081113
1979-09-26T00:00:00,267.1699037
1979-09-27T00:00:00,270.8766543
1979-09-28T00:00:00,272.4825834
1979-09-29T00:00:00,272.4777457
1979-09-30T00:00:00,272.6740781
1979-10-01T00:00:00,272.020173
1979-10-02T00:00:00,264.7294695
1979-10-03T00:00:00,263.9737818
1979-10-04T00:00:00,264.0717236
1979-10-05T00:00:00,264.0717236
1979-10-07T00:00:00,255.5732099
1979-10-08T00:00:00,265.8610251
1979-10-09T00:00:00,263.9782621
1979-10-10T00:00:00,268.051924
1979-10-11T00:00:00,269.4413676
1979-10-12T00:00:00,265.169153
1979-10-13T00:00:00,258.4568777
1979-10-14T00:00:00,254.3558815
1979-10-15T00:00:00,261.2280079
1979-10-16T00:00:00,259.252534
1979-10-17T00:00:00,253.4798032
1979-10-18T00:00:00,258.0220755
1979-10-19T00:00:00,256.4568777
1979-10-20T00:00:00,262.2506514
1979-10-21T00:00:00,255.337893
1979-10-23T00:00:00,250.142633
1979-10-24T00:00:00,253.441451
1979-10-25T00:00:00,252.7056186
1979-10-26T00:00:00,255.5515268
1979-10-27T00:00:00,253.9766257
1979-10-28T00:00:00,253.9766257
1979-10-29T00:00:00,247.8619306
1979-10-30T00:00:00,250.7755668
1979-10-31T00:00:00,258.5757741
1979-11-01T00:00:00,256.1652011
1979-11-02T00:00:00,253.8483866
1979-11-03T00:00:00,253.0416369
1979-11-04T00:00:00,255.7229477
1979-11-05T00:00:00,258.0604461
1979-11-06T00:00:00,256.0243435
1979-11-07T00:00:00,253.9217745
1979-11-09T00:00:00,256.2434266
1979-11-10T00:00:00,255.4749734
1979-11-11T00:00:00,260.0317509
1979-11-12T00:00:00,256.6245571
1979-11-13T00:00:00,252.2133677
1979-11-14T00:00:00,251.5029948
1979-11-15T00:00:00,255.1486861
1979-11-16T00:00:00,255.9853598
1979-11-17T00:00:00,255.8863734
1979-11-18T00:00:00,258.9632366
1979-11-19T00:00:00,253.6256454
1979-11-20T00:00:00,252.4077975
1979-11-21T00:00:00,252.7416472
1979-11-22T00:00:00,255.2124541
1979-11-23T00:00:00,253.3423296
1979-11-24T00:00:00,250.9662909
1979-11-25T00:00:00,250.0500413
1979-11-26T00:00:00,252.6183213
